"Sl","Product Image","Name (English)","Name (Bangla)","Category","Product Price","Quantity","Discount","Featured","Status","Action"
"1","","24K Gold Lip Balm","24K Gold Lip Balm","Lips","250","920","৳70 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"2","","Foundation+ Setting Spray+ Mascara+ Gift Kajal","Foundation+ Setting Spray+ Mascara+ Gift Kajal","Makeup","2550","30","৳550 off","","Disable","Edit info                                                                                                                                                                                                                         Delete"
"3","","Eye Shadow+ Foundation+ Setting Spray+ Mascara+ Kajal+Lip Oil+ Gift Powder","Eye Shadow+ Foundation+ Setting Spray+ Mascara+ Kajal+Lip Oil+ Gift Powder","Makeup","3700","30","৳500 off","","Disable","Edit info                                                                                                                                                                                                                         Delete"
"4","","Sakura Face Powder (Pink)","Sakura Face Powder (Pink)","Makeup","650","15","৳170 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"5","","Sakura Face Powder (Yellow)","Sakura Face Powder (Yellow)","Makeup","650","12","৳170 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"6","","Vitamin  C & E Soothing gel","Vitamin  C & E Soothing gel","Soothing Gel","1250","1295","৳130 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"7","","Spot Combo (Spot Cream, Face Massage Cream & Vitamin C & E Gel)","Spot Combo (Spot Cream, Face Massage Cream & Vitamin C & E Gel)","Combo","2950","0","৳550 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"8","","Glossy Skin Brightening Combo (Pearl Cream+ Face Massage Cream+ 24K Serum)","Glossy Skin Brightening Combo","Combo","3400","0","৳410 off","","Disable","Edit info                                                                                                                                                                                                                         Delete"
"9","","Pregnancy Brightening Combo (Face Pack+ Face Massage Cream+ Peach Gold Serum+ Stick+ Puff)","Pregnancy Brightening Combo","Combo","3625","60","৳425 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"10","","AMINO ACID Make-Up Removing & Cleansing Foam","AMINO ACID Make-Up Removing & Cleansing Foam","Cleanser/Face Wash","1250","36","৳200 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
